ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
14442,0.006,0,0.006,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Models\model.py:57(set_ranking)
27769,0.006,0,0.006,0,{method 'acquire' of '_thread.lock' objects}
1,0,0,0.005,0.005,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\runner.py:33(parse_domain)
1,0,0,0.005,0.005,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:20(parse_domain)
38938,0.005,0,0.005,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\Object.py:24(__str__)
13327,0.003,0,0.005,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Search_Queues\search_queue.py:73(get_num_completed_models)
13327,0.003,0,0.005,0,C:\Python39\lib\queue.py:232(_qsize)
2,0,0,0.004,0.002,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:465(_scan_tokens)
2,0.002,0.001,0.004,0.002,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\parser.py:218(_scan_tokens)
14442,0.004,0,0.004,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Models\model.py:64(set_secondary_ranking)
10,0,0,0.004,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Solving_Algorithms\solver.py:276(reproduce_state)
10,0,0,0.004,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Heuristics\partial_order_pruning.py:19(task_milestone)
30756,0.004,0,0.004,0,{method 'update' of 'dict' objects}
14131,0.004,0,0.004,0,{method 'pop' of 'list' objects}
14442,0.004,0,0.004,0,{method 'add' of 'set' objects}
8277,0.003,0,0.003,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Models\model.py:67(set_progress_tracker)
12338,0.003,0,0.003,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Solving_Algorithms\partial_order.py:78(<listcomp>)
12338,0.003,0,0.003,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Solving_Algorithms\partial_order.py:79(<listcomp>)
27769,0.003,0,0.003,0,{method '__exit__' of '_thread.lock' objects}
16,0,0,0.002,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:191(_parse_method)
14442,0.002,0,0.002,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Search_Queues\Greedy_Best_First_Search_Queue.py:8(_calc_ranking)
6177,0.002,0,0.002,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\state.py:8(__init__)
16555,0.002,0,0.002,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Progress_Tracking\progress_tracker.py:6(__init__)
8277,0.002,0,0.002,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Models\model.py:70(get_progress_tracker)
13327,0.002,0,0.002,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Search_Queues\search_queue.py:82(__len__)
12339,0.002,0,0.002,0,{method 'insert' of 'list' objects}
9750,0.002,0,0.002,0,{method 'startswith' of 'str' objects}
2,0,0,0.001,0.001,C:\Python39\lib\re.py:233(findall)
14,0,0,0.001,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:109(_parse_action)
156/31,0,0,0.001,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:251(__parse_conditions)
31,0,0,0.001,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:250(_parse_precondition)
100,0,0,0.001,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Internal_Representation\precondition.py:23(add_predicate_condition)
127,0,0,0.001,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\parser.py:50(_parse_parameters)
17,0,0,0.001,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\parser.py:148(_parse_subtasks)
4277,0.001,0,0.001,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Models\model.py:51(get_model_number)
8277,0.001,0,0.001,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Models\model.py:54(set_parent_model_number)
30,0,0,0.001,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Parameter_Selection\Requirement_Selection.py:24(prepare_requirements)
122/30,0,0,0.001,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Parameter_Selection\Requirement_Selection.py:35(__prepare_requirements_precons)
1,0,0,0.001,0.001,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Parameter_Selection\Requirement_Selection.py:232(presolving_processing)
30,0,0,0.001,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Parameter_Selection\Requirement_Selection.py:240(_prepare_requirements)
3349,0.001,0,0.001,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Solving_Algorithms\partial_order.py:129(<listcomp>)
5377,0.001,0,0.001,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Solving_Algorithms\partial_order.py:135(<listcomp>)
2,0.001,0,0.001,0,{method 'findall' of 're.Pattern' objects}
2,0.001,0.001,0.001,0.001,{built-in method io.open}
10312,0.001,0,0.001,0,{method 'pop' of 'dict' objects}
6178,0.001,0,0.001,0,{method 'items' of 'dict' objects}
2885,0.001,0,0.001,0,{method 'index' of 'list' objects}
2,0,0,0,0,C:\Python39\lib\codecs.py:260(__init__)
13-Jul,0,0,0,0,C:\Python39\lib\abc.py:121(__subclasscheck__)
2,0,0,0,0,C:\Python39\lib\_bootlocale.py:11(getpreferredencoding)
2,0,0,0,0,C:\Python39\lib\genericpath.py:16(exists)
2,0,0,0,0,C:\Python39\lib\encodings\cp1252.py:22(decode)
2,0,0,0,0,C:\Python39\lib\types.py:171(__get__)
2,0,0,0,0,C:\Python39\lib\re.py:203(sub)
4,0,0,0,0,C:\Python39\lib\re.py:289(_compile)
4,0,0,0,0,C:\Python39\lib\enum.py:358(__call__)
4,0,0,0,0,C:\Python39\lib\enum.py:670(__new__)
2,0,0,0,0,C:\Python39\lib\enum.py:792(value)
06-Feb,0,0,0,0,C:\Python39\lib\sre_compile.py:71(_compile)
2,0,0,0,0,C:\Python39\lib\enum.py:977(__and__)
2,0,0,0,0,C:\Python39\lib\sre_compile.py:276(_optimize_charset)
2,0,0,0,0,C:\Python39\lib\sre_compile.py:249(_compile_charset)
2,0,0,0,0,C:\Python39\lib\sre_compile.py:423(_simple)
1,0,0,0,0,C:\Python39\lib\sre_compile.py:432(_generate_overlap_table)
3,0,0,0,0,C:\Python39\lib\sre_compile.py:453(_get_iscased)
2,0,0,0,0,C:\Python39\lib\sre_compile.py:461(_get_literal_prefix)
1,0,0,0,0,C:\Python39\lib\sre_compile.py:492(_get_charset_prefix)
2,0,0,0,0,C:\Python39\lib\sre_compile.py:536(_compile_info)
4,0,0,0,0,C:\Python39\lib\sre_compile.py:595(isstring)
2,0,0,0,0,C:\Python39\lib\sre_compile.py:598(_code)
2,0,0,0,0,C:\Python39\lib\sre_compile.py:759(compile)
2,0,0,0,0,C:\Python39\lib\sre_parse.py:76(__init__)
4,0,0,0,0,C:\Python39\lib\sre_parse.py:81(groups)
6,0,0,0,0,C:\Python39\lib\sre_parse.py:111(__init__)
14,0,0,0,0,C:\Python39\lib\sre_parse.py:160(__len__)
28,0,0,0,0,C:\Python39\lib\sre_parse.py:164(__getitem__)
2,0,0,0,0,C:\Python39\lib\sre_parse.py:168(__setitem__)
6,0,0,0,0,C:\Python39\lib\sre_parse.py:172(append)
06-Feb,0,0,0,0,C:\Python39\lib\sre_parse.py:174(getwidth)
2,0,0,0,0,C:\Python39\lib\sre_parse.py:224(__init__)
18,0,0,0,0,C:\Python39\lib\sre_parse.py:233(__next)
12,0,0,0,0,C:\Python39\lib\sre_parse.py:249(match)
14,0,0,0,0,C:\Python39\lib\sre_parse.py:254(get)
6,0,0,0,0,C:\Python39\lib\sre_parse.py:286(tell)
1,0,0,0,0,C:\Python39\lib\sre_parse.py:295(_class_escape)
2,0,0,0,0,C:\Python39\lib\sre_parse.py:432(_uniq)
2,0,0,0,0,C:\Python39\lib\sre_parse.py:435(_parse_sub)
3,0,0,0,0,C:\Python39\lib\sre_parse.py:493(_parse)
2,0,0,0,0,C:\Python39\lib\sre_parse.py:921(fix_flags)
2,0,0,0,0,C:\Python39\lib\sre_parse.py:937(parse)
6,0,0,0,0,C:\Python39\lib\threading.py:228(__init__)
1,0,0,0,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\runner.py:22(__init__)
1,0,0,0,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\runner.py:72(set_heuristic)
1,0,0,0,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\runner.py:84(set_search_queue)
2,0,0,0,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\runner.py:130(__check_file_exists)
2,0,0,0,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\runner.py:138(__get_suffix)
1,0,0,0,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Solver\Heuristics\hamming_distance_partial_order.py:8(__init__)
1,0,0,0,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:17(__init__)
2,0,0,0,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:77(_add_types_to_domain)
1,0,0,0,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:76(_parse_type)
1,0,0,0,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:100(_parse_predicates)
28,0,0,0,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:135(__extract_effect_values)
27/14,0,0,0,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:134(_parse_effects)
10,0,0,0,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:174(_parse_task)
100,0,0,0,0,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:270(<listcomp>)
