ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:345(__add_constants_to_problem)
1,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:344(_parse_constant)
1,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:370(_post_domain_parsing_grounding)
1,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:382(_set_problem_name)
1,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:392(_check_domain_name)
8,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:403(_add_objects_to_problem)
1,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:402(_parse_objects)
817,0.001,0.000,0.002,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:423(<listcomp>)
1,0.002,0.002,0.013,0.013,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:420(_parse_initial_state)
1,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:426(_parse_htn_tag)
1,0.000,0.000,0.001,0.001,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:465(_parse_goal_state)
2,0.000,0.000,0.011,0.006,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:471(_scan_tokens)
42,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Internal_Representation\precondition.py:15(add_operator_condition)
109,0.000,0.000,0.001,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Internal_Representation\precondition.py:23(add_predicate_condition)
8,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Internal_Representation\precondition.py:68(add_given_params_predicate_condition)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Internal_Representation\precondition.py:77(add_given_params_operator_condition)
151,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Internal_Representation\precondition.py:84(_final_condition_addition_checks)
7083/4599,0.004,0.000,0.394,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Internal_Representation\precondition.py:92(evaluate_given_params_conditions)
23840/23025,0.027,0.000,4.780,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\Internal_Representation\precondition.py:97(evaluate)
